"PatientID","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"TCGA-A2-A0YE",2.12108731269836,-4.4581151008606,-1.57988607883453,0.740792751312256,-3.33521628379822,1.23385417461395,-0.564673781394958,0.965304136276245,-0.645692408084869,-0.834263980388641,0.669086217880249,-0.382260084152222,-1.40634262561798,0.0791520625352859,1.35633671283722
"TCGA-A2-A0YF",-2.62917065620422,2.08874344825745,-0.94233500957489,-0.663682878017426,0.149842411279678,1.66743946075439,-0.00551815703511238,-1.36960482597351,-1.2839275598526,2.14361548423767,0.710223138332367,-0.899948120117188,-1.12577724456787,-0.544205486774445,1.37287890911102
"TCGA-A2-A0YG",-3.04150581359863,-1.09158611297607,1.47744882106781,-0.321528494358063,-0.00198653899133205,2.98132824897766,-1.10566854476929,1.59226977825165,-0.0351710505783558,0.32607114315033,0.804499983787537,-0.874940037727356,-0.991506159305573,0.0803550705313683,1.86612522602081
"TCGA-A2-A0YH",-1.12250638008118,-0.894653081893921,-2.03926134109497,0.979161500930786,2.46990871429443,1.47449624538422,-0.79378867149353,0.479675650596619,0.199971675872803,0.468732893466949,-0.640775144100189,-1.24586892127991,-1.41897249221802,-0.247098430991173,0.398187458515167
"TCGA-A2-A0YI",0.831881165504456,1.91139221191406,0.766788005828857,0.277725607156754,1.86382210254669,1.57179939746857,0.139778301119804,-1.23994588851929,-0.465366333723068,0.60343337059021,0.415954828262329,-0.607707679271698,-0.892677426338196,-1.36318528652191,1.61465668678284
"TCGA-A2-A0YJ",2.02383685112,-6.11210155487061,-2.11166596412659,-0.267082333564758,-4.18639707565308,2.23783826828003,-0.657685220241547,-0.75066465139389,-2.39619779586792,-0.481940180063248,-0.459879159927368,-0.405196756124496,-0.963932812213898,-0.735535502433777,1.40160405635834
"TCGA-A2-A0YK",3.37678861618042,2.2122437953949,0.441608101129532,-0.227423846721649,1.76310431957245,0.876502931118011,0.354555398225784,0.209204941987991,0.045308742672205,0.654395163059235,0.00635683164000511,-1.1773054599762,-1.20479154586792,0.429857224225998,1.42009592056274
"TCGA-A2-A0YL",1.32708966732025,2.23976683616638,-0.465515941381454,0.812279939651489,-1.35392820835114,1.03139662742615,-0.200738415122032,-0.053645383566618,1.88736772537231,0.438400089740753,-0.457151621580124,-0.338309645652771,-0.670040428638458,-0.905891299247742,0.70422899723053
"TCGA-A2-A0YM",3.1712532043457,-5.6305570602417,1.24547576904297,-1.18293738365173,-3.0209174156189,2.55866479873657,0.383839309215546,-0.731473863124847,-0.393937051296234,-0.292845726013184,-0.183123573660851,-0.931187212467194,-0.249911159276962,-0.270824402570724,1.10883843898773
"TCGA-A2-A0YT",-3.67090773582458,-0.848931312561035,-1.44640111923218,0.398253172636032,0.764639556407928,1.99466347694397,-0.68160617351532,3.41715693473816,-0.519671201705933,0.212756276130676,0.650983810424805,-1.402019739151,-0.713229358196259,0.451722234487534,1.44318211078644
"TCGA-A2-A1FV",-2.0564501285553,3.36227011680603,-0.804299771785736,-4.43325805664062,-1.5600368976593,1.70927131175995,2.35093545913696,2.32310247421265,-0.101918913424015,3.16382122039795,0.35305854678154,0.704003810882568,1.21577572822571,-3.21105742454529,2.72167491912842
"TCGA-A2-A1FW",-3.4576244354248,1.05787169933319,-0.36327338218689,-0.845081925392151,0.12338700145483,2.92368364334106,1.3763861656189,3.65601420402527,-0.471554100513458,1.5639363527298,1.38555335998535,-1.26356399059296,0.329793065786362,0.864929378032684,0.846666812896729
"TCGA-A2-A1FX",-2.67972660064697,0.994185090065002,-1.00633299350739,-1.28347718715668,0.765644073486328,0.722861647605896,1.1304372549057,0.806987464427948,-0.757539927959442,-0.00571506284177303,-0.422974079847336,-0.118009313941002,0.778220117092133,-0.780418932437897,1.04405629634857
"TCGA-A2-A1FZ",0.449085414409637,1.77064478397369,0.979069352149963,0.0505700260400772,0.152277171611786,1.34680831432343,-0.979079127311707,-0.573742210865021,-0.607571661472321,-0.4564169049263,0.510859310626984,0.755700051784515,0.0476841107010841,0.248326107859612,-0.670015037059784
"TCGA-A2-A1G0",0.216121450066566,2.80314779281616,-1.12280142307281,0.952578723430634,0.150073662400246,1.74330103397369,0.898400187492371,-0.0492552258074284,0.137167692184448,0.486769169569016,0.0370438508689404,-0.531344830989838,0.493806481361389,0.272702276706696,-0.648708760738373
"TCGA-A2-A1G1",2.74897336959839,-3.98067283630371,-0.366790890693665,-0.621430516242981,0.11442956328392,2.91609692573547,-1.14462316036224,-0.032493956387043,-1.33422088623047,2.07517433166504,-0.422872841358185,-0.0832723453640938,0.893503189086914,0.345113188028336,0.0852058157324791
"TCGA-A2-A1G4",-2.73051571846008,1.10525155067444,1.0648068189621,-0.744051098823547,0.0622585862874985,2.20339250564575,1.72895467281342,-0.304239630699158,-1.08649778366089,1.43902039527893,-0.188992589712143,-0.493207812309265,0.549201667308807,0.893162131309509,-0.359618633985519
"TCGA-A2-A1G6",2.72419571876526,3.03646731376648,0.340368032455444,2.5709273815155,-2.93217349052429,-0.788999319076538,0.746063709259033,0.372568309307098,1.93365454673767,1.73573529720306,-0.909187257289886,0.651737749576569,0.808918714523315,-0.116903744637966,-1.13091504573822
"TCGA-A2-A259",0.681797325611115,1.79513823986053,0.467460989952087,1.50164973735809,0.356381505727768,1.52353155612946,0.334010660648346,-0.825832426548004,0.761975109577179,0.616934895515442,0.66407722234726,0.286927103996277,-0.122638151049614,-0.180060669779778,-0.749615550041199
"TCGA-A2-A25A",2.19795203208923,2.70661878585815,0.436763077974319,0.143871203064919,-0.31467592716217,0.100906208157539,-0.615519762039185,0.733868718147278,1.393385887146,0.415208697319031,0.668454110622406,0.688410937786102,0.0651173293590546,-0.568300068378448,0.2424096763134
"TCGA-A2-A25B",-3.24808549880981,-0.924870550632477,-1.95238780975342,-1.17507863044739,0.881572604179382,3.06347823143005,-0.60364043712616,1.71351051330566,-0.514769613742828,1.7415177822113,0.504174172878265,1.25265252590179,0.267246931791306,-0.554608047008514,1.07100689411163
"TCGA-A2-A25C",-1.30912411212921,1.21312046051025,0.720894873142242,1.08549511432648,0.656318128108978,2.92270159721375,-0.519387304782867,-0.150355502963066,-0.0328623242676258,0.968213200569153,1.31770694255829,0.474605619907379,0.562570452690125,-0.0524098873138428,-0.484717160463333
"TCGA-A2-A25D",-0.112580440938473,0.0334670320153236,-0.334509074687958,-1.04285895824432,2.20676159858704,-1.32034730911255,0.425318419933319,-0.34991329908371,0.817909240722656,1.27615654468536,0.0465815700590611,-0.518652260303497,0.846262514591217,0.737051248550415,-1.45307862758636
"TCGA-A2-A25E",-2.79851651191711,0.175420880317688,-0.820427775382996,0.423446536064148,0.418834120035172,1.45272350311279,0.794299185276031,1.17517971992493,-0.216225400567055,1.92550873756409,1.16033387184143,1.25516474246979,0.600136935710907,-1.27241349220276,0.5941481590271
"TCGA-A2-A25F",4.97769451141357,-2.05195164680481,0.496631056070328,0.157465234398842,5.40944528579712,2.09884572029114,0.592703580856323,-0.520244061946869,-1.75186944007874,1.47419846057892,0.278755068778992,0.709668159484863,0.824217319488525,-0.0670006573200226,-0.0265396665781736
"TCGA-A2-A3KC",0.80385822057724,2.26874303817749,0.772046267986298,-0.810022294521332,-0.716529428958893,0.312531888484955,-0.152657926082611,0.457108527421951,1.30227863788605,-1.42480385303497,-0.464824348688126,0.155482709407806,0.655008316040039,0.260200053453445,-0.670946538448334
"TCGA-A2-A3KD",-0.403796166181564,1.6151430606842,0.160503074526787,1.34026968479156,-1.28322267532349,1.18746531009674,0.405307680368423,-1.15985834598541,-0.511554300785065,-1.32101142406464,0.168109491467476,0.78359067440033,0.0494793131947517,-0.184149816632271,-0.328249007463455
"TCGA-A2-A3XT",2.38638401031494,-4.49740600585938,-0.268424391746521,0.359420478343964,-0.442911237478256,-0.555406391620636,0.953571140766144,-0.924358725547791,-0.919967234134674,-1.51178765296936,0.110110677778721,0.0318901650607586,0.290248215198517,0.194955050945282,-0.361761420965195
"TCGA-A2-A3XU",0.24251164495945,-6.16485214233398,-0.60853236913681,1.13461446762085,-5.10759735107422,-4.82467412948608,0.604170501232147,-0.518509745597839,-0.47883078455925,-0.624831676483154,-1.09862399101257,-1.52096951007843,0.652868807315826,2.68147897720337,-3.13549542427063
"TCGA-A2-A3XV",-2.83824062347412,-2.12348675727844,0.865745544433594,-1.04021191596985,-0.0894967094063759,-6.85275459289551,-1.99072563648224,-0.431132942438126,-0.64570415019989,-0.934531152248383,-1.6873345375061,-0.106104709208012,0.538666665554047,-0.0118961930274963,0.283338725566864
