"time","surv","upper","lower"
2854,0.524137408362542,0.684123868898883,0.401564738980928
2877,0.524137408362542,0.684123868898883,0.401564738980928
2923,0.524137408362542,0.684123868898883,0.401564738980928
2965,0.491378820339883,0.659919079921366,0.365882958115692
2968,0.491378820339883,0.659919079921366,0.365882958115692
3119,0.491378820339883,0.659919079921366,0.365882958115692
3126,0.453580449544508,0.633478655544749,0.324770570260302
3344,0.453580449544508,0.633478655544749,0.324770570260302
3462,0.41234586322228,0.604640581595449,0.281206912159081
3471,0.371111276900052,0.573334808828439,0.240214928034482
3669,0.329876690577824,0.539807855362459,0.201587712934466
3738,0.288642104255596,0.504210619684868,0.165237028131557
3959,0.247407517933368,0.466637887300751,0.131173403608565
3991,0.247407517933368,0.466637887300751,0.131173403608565
4398,0.197926014346694,0.427969153814527,0.0915362866832812
4788,0.197926014346694,0.427969153814527,0.0915362866832812
4928,0.197926014346694,0.427969153814527,0.0915362866832812
5261,0.197926014346694,0.427969153814527,0.0915362866832812
5671,0.197926014346694,0.427969153814527,0.0915362866832812
